[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:20:05.347] iteration 41 : total loss : 0.580961, loss_ce: 0.582738, loss_dice: 0.579184, loss_cons: 0.008001 , con_weight: 0.000000
[15:20:06.030] iteration 42 : total loss : 0.584071, loss_ce: 0.583525, loss_dice: 0.584616, loss_cons: 0.007252 , con_weight: 0.000000
[15:20:06.650] iteration 43 : total loss : 0.473643, loss_ce: 0.422599, loss_dice: 0.524687, loss_cons: 0.007124 , con_weight: 0.000000
[15:20:07.315] iteration 44 : total loss : 0.544063, loss_ce: 0.519062, loss_dice: 0.569063, loss_cons: 0.007383 , con_weight: 0.000000
[15:20:08.159] iteration 45 : total loss : 0.570019, loss_ce: 0.597987, loss_dice: 0.542050, loss_cons: 0.008049 , con_weight: 0.000000
[15:20:08.812] iteration 46 : total loss : 0.500825, loss_ce: 0.475635, loss_dice: 0.526016, loss_cons: 0.006010 , con_weight: 0.000000
[15:20:09.496] iteration 47 : total loss : 0.472453, loss_ce: 0.409621, loss_dice: 0.535284, loss_cons: 0.004754 , con_weight: 0.000000
[15:20:10.172] iteration 48 : total loss : 0.458151, loss_ce: 0.388120, loss_dice: 0.528181, loss_cons: 0.004744 , con_weight: 0.000000
[15:20:11.636] iteration 49 : total loss : 0.477972, loss_ce: 0.441663, loss_dice: 0.514281, loss_cons: 0.004554 , con_weight: 0.000000
[15:20:12.234] iteration 50 : total loss : 0.485158, loss_ce: 0.440321, loss_dice: 0.529994, loss_cons: 0.006556 , con_weight: 0.000000
[15:20:13.184] iteration 51 : total loss : 0.451964, loss_ce: 0.382092, loss_dice: 0.521837, loss_cons: 0.006570 , con_weight: 0.000000
[15:20:13.968] iteration 52 : total loss : 0.446765, loss_ce: 0.393155, loss_dice: 0.500374, loss_cons: 0.007149 , con_weight: 0.000000
[15:20:14.721] iteration 53 : total loss : 0.445228, loss_ce: 0.397946, loss_dice: 0.492510, loss_cons: 0.007421 , con_weight: 0.000000
[15:20:15.441] iteration 54 : total loss : 0.428548, loss_ce: 0.366205, loss_dice: 0.490890, loss_cons: 0.005692 , con_weight: 0.000000
[15:20:16.519] iteration 55 : total loss : 0.468831, loss_ce: 0.424143, loss_dice: 0.513520, loss_cons: 0.004759 , con_weight: 0.000000
[15:20:17.401] iteration 56 : total loss : 0.475057, loss_ce: 0.446552, loss_dice: 0.503562, loss_cons: 0.004982 , con_weight: 0.000000
[15:20:18.016] iteration 57 : total loss : 0.498691, loss_ce: 0.460463, loss_dice: 0.536919, loss_cons: 0.004423 , con_weight: 0.000000
